ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2297,35,2297,174,1339,3,2
2297,36,2297,32,1341,2,1
2297,39,2297,33,1342,3,1
2297,40,2297,33,1342,4,1
2297,41,2297,33,1342,5,1
2299,37,2299,30,1344,3,2
2299,38,2299,182,1343,3,1
2299,39,2299,30,1344,4,2
2299,40,2299,33,1346,3,1
2299,41,2299,182,1343,4,1
2300,34,2300,30,1348,2,1
2300,35,2300,30,1348,3,1
2302,55,2302,42,1354,2,1
2302,56,2302,8,1351,3,2
2302,58,2302,230,1352,3,1
2302,59,2302,221,1356,2,1
2302,60,2302,198,1355,3,2
2302,64,2302,42,1354,3,1
2302,66,2302,198,1355,4,2
2302,68,2302,8,1351,4,2
2302,72,2302,230,1352,4,1
2302,73,2302,198,1355,5,2
2302,74,2302,195,1350,5,2
2304,34,2304,4,1357,3,2
2304,35,2304,30,1358,3,2
2304,36,2304,30,1358,4,2
2311,36,2311,177,1360,2,1
2311,37,2311,33,1359,5,3
2312,34,2312,31,1362,3,1
2312,35,2312,31,1362,4,1
2326,180,2326,30,1365,3,1
2327,33,2327,32,1367,2,1
2327,34,2327,32,1367,3,1
2327,36,2327,32,1367,4,1
2330,33,2330,3,1369,2,1
2330,34,2330,3,1369,3,1
2334,34,2334,31,1370,3,2
2334,35,2334,31,1370,4,2
2336,32,2336,30,1371,3,2
2336,33,2336,30,1371,4,2
2338,30,2338,171,1372,3,2
2338,31,2338,171,1372,4,2
2339,37,2339,32,1374,3,2
2339,38,2339,32,1374,4,2
2339,39,2339,32,1374,5,2
2339,40,2339,32,1374,6,2
2339,41,2339,32,1374,7,2
2341,35,2341,33,1375,3,2
2341,36,2341,33,1375,4,2
2342,32,2342,31,1376,2,1
2354,37,2354,30,1377,3,2
2354,38,2354,177,1378,3,2
2354,39,2354,33,1380,3,2
2354,40,2354,177,1378,4,2
2354,41,2354,30,1377,4,2
2354,42,2354,33,1380,4,2
2354,43,2354,32,1379,3,2
2354,44,2354,177,1378,5,2
2354,45,2354,32,1379,4,2
2354,47,2354,32,1379,5,2
2355,35,2355,176,1381,2,1
2357,31,2357,30,1382,3,2
2373,31,2373,171,1384,3,2
2373,32,2373,171,1384,4,2
2383,30,2383,172,1386,4,1
2391,33,2391,173,1387,4,2
2391,34,2391,32,1390,4,1
2391,35,2391,32,1390,3,1
2391,36,2391,180,1389,3,1
2391,176,2391,32,1390,2,1
2392,38,2392,173,1392,3,2
2392,39,2392,173,1392,4,2
2392,40,2392,6,1393,3,1
2392,42,2392,929,1394,3,6
2392,45,2392,929,1394,4,6
2392,46,2392,929,1394,5,6
2392,47,2392,33,1391,2,1
2392,49,2392,185,1396,3,2
2392,182,2392,929,1394,2,6
2397,39,2397,175,1399,3,1
2397,41,2397,174,1398,3,2
2397,42,2397,174,1398,4,2
2397,43,2397,175,1399,4,1
2409,36,2409,31,1403,2,1
2409,39,2409,32,1401,4,3
2410,34,2410,3,1405,3,2
2410,35,2410,30,1406,4,2
2411,33,2411,30,1407,2,1
2411,34,2411,173,1408,3,1
2411,35,2411,173,1408,4,1
2412,34,2412,30,1409,4,2
2416,38,2416,30,1410,2,1
2417,33,2417,31,1411,2,1
2417,34,2417,31,1411,3,1
2418,35,2418,175,1412,3,1
2422,40,2422,32,1414,3,2
2422,41,2422,32,1414,4,2
2422,43,2422,32,1414,5,2
2422,45,2422,32,1414,6,2
2425,31,2425,3,1415,3,2
2425,32,2425,3,1415,4,2
2432,56,2432,33,1416,3,2
2432,59,2432,33,1416,4,2
2432,62,2432,194,1417,3,2
2432,64,2432,33,1416,5,2
2432,71,2432,194,1417,4,2
2432,75,2432,41,1419,2,1
2434,33,2434,2,1420,3,1
2434,34,2434,2,1420,4,1
