ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2852,75,2852,211,1741,2,1
2860,33,2860,4,1748,2,1
2860,34,2860,4,1748,3,1
2860,35,2860,173,1749,3,2
2860,36,2860,173,1749,4,2
2860,37,2860,173,1749,5,2
2876,33,2876,30,1751,6,1
2876,34,2876,32,1752,2,1
2876,170,2876,30,1751,7,1
2876,171,2876,30,1751,5,1
2880,32,2880,4,1753,2,1
2881,38,2881,30,1756,3,2
2881,177,2881,32,1754,2,1
2881,178,2881,32,1754,3,1
2881,179,2881,32,1754,4,1
2882,35,2882,31,1757,3,2
2882,36,2882,31,1757,4,2
2882,37,2882,31,1757,5,2
2885,36,2885,32,1759,3,2
2885,37,2885,32,1759,4,2
2885,38,2885,32,1759,5,2
2887,39,2887,34,1761,2,1
2890,32,2890,180,1763,3,2
2890,33,2890,31,1762,3,2
2890,34,2890,180,1763,4,2
2890,35,2890,31,1762,4,2
2897,45,2897,32,1768,2,1
2900,33,2900,30,1771,3,2
2900,35,2900,30,1771,4,2
2902,36,2902,30,1774,3,2
2907,44,2907,8,1775,4,1
2907,45,2907,34,1776,3,2
2907,46,2907,34,1776,4,2
2907,47,2907,194,1777,3,2
2907,49,2907,202,1779,3,2
2907,50,2907,34,1776,5,2
2907,51,2907,34,1776,6,2
2907,52,2907,194,1777,4,2
2907,53,2907,196,1778,4,2
2907,197,2907,196,1778,3,2
2907,201,2907,196,1778,5,2
2910,35,2910,173,1781,3,2
2921,34,2921,31,1784,2,1
2924,33,2924,30,1785,3,2
2924,34,2924,30,1785,4,2
2924,35,2924,30,1785,5,2
3007,30,3007,3,1786,3,1
3007,31,3007,3,1786,4,1
3009,30,3009,170,1787,3,2
3010,30,3010,3,1788,3,2
3013,30,3013,170,1789,3,2
3027,30,3027,1,1793,4,1
3028,170,3028,2,1794,2,1
3032,30,3032,3,1795,2,1
3034,30,3034,170,1796,3,2
3034,31,3034,170,1796,4,2
3046,30,3046,1,1797,5,1
3046,31,3046,1,1797,6,1
3052,30,3052,2,1798,2,1
3052,31,3052,2,1798,3,1
3053,30,3053,3,1799,3,2
3053,31,3053,171,1800,3,1
3056,30,3056,3,1802,2,1
3057,32,3057,2,1803,4,2
3058,33,3058,171,1806,4,1
3062,30,3062,2,1807,3,2
3065,30,3065,1,1808,3,1
3065,31,3065,1,1808,4,1
3066,30,3066,1,1809,3,1
3078,30,3078,2,1810,3,1
3078,31,3078,4,1811,3,2
3078,32,3078,1,1812,2,1
3078,33,3078,4,1811,4,2
3078,34,3078,1,1812,5,1
3082,30,3082,2,1813,3,1
3084,30,3084,170,1814,4,2
3086,30,3086,1,1816,3,1
3086,31,3086,1,1816,4,1
3088,30,3088,1,1817,3,2
3088,31,3088,1,1817,4,2
3094,30,3094,2,1818,3,2
3095,30,3095,1,1819,3,1
3095,31,3095,1,1819,4,1
3095,32,3095,6,1821,3,1
3095,33,3095,5,1819,5,2
3095,34,3095,173,1823,4,2
3095,35,3095,173,1823,5,2
3095,36,3095,5,1819,6,2
3095,37,3095,6,1821,4,1
3095,38,3095,171,1822,3,2
3095,172,3095,173,1823,3,2
3096,30,3096,1,1824,3,1
3098,31,3098,171,1826,3,2
3099,30,3099,2,1827,6,2
3101,173,3101,172,1828,3,2
3104,30,3104,170,1829,3,2
3107,30,3107,170,1830,3,2
3108,30,3108,3,1831,3,1
3108,31,3108,3,1831,4,1
3111,30,3111,4,1832,7,2
3117,33,,,1834,3,
3131,30,3131,1,1836,3,1
3133,30,,,1837,3,
3133,31,,,1837,4,
3133,32,,,1837,5,
3133,33,3133,2,1838,3,2
3135,30,3135,2,1839,4,2
3137,30,3137,7,1841,2,1
3137,32,3137,7,1841,3,1
3137,33,3137,6,1842,3,2
3143,30,3143,3,1844,3,2
3143,31,3143,3,1844,4,2
3143,32,3143,3,1844,5,2
3147,30,3147,2,1846,3,2
3147,32,3147,3,1847,2,1
3149,30,3149,2,1849,4,2
3151,30,3151,2,1850,5,2
3151,31,3151,170,1851,4,1
3151,172,3151,170,1851,3,1
3155,30,3155,2,1852,3,2
3155,31,3155,170,1853,3,2
3155,32,3155,5,1854,4,2
3155,172,3155,5,1854,3,2
3162,30,3162,4,1855,3,2
3171,31,3171,170,1857,4,1
3172,30,3172,170,1859,4,2
3172,31,3172,4,1860,3,2
3172,32,3172,4,1860,4,2
3172,33,3172,170,1859,5,2
3172,171,3172,170,1859,3,2
3176,30,3176,2,1863,6,2
3176,31,3176,2,1863,7,2
3176,32,3176,3,1863,8,3
3177,30,3177,1,1865,3,1
3179,30,3179,3,1866,5,2
3190,30,3190,170,1867,3,1
3190,31,3190,170,1867,4,1
3190,171,3190,170,1867,2,1
3191,30,3191,170,1868,2,1
3193,30,3193,170,1869,3,2
3193,32,3193,4,1870,3,2
3193,33,3193,170,1869,4,2
3193,34,3193,170,1869,5,2
3194,30,3194,1,1871,2,1
3195,31,3195,5,1874,3,2
3195,32,3195,4,1873,3,2
3195,33,3195,4,1873,4,2
3195,34,3195,5,1874,4,2
3195,35,3195,173,1872,3,2
3195,36,3195,5,1874,5,2
3199,30,3199,3,1877,4,2
3199,31,3199,3,1877,5,2
3199,32,3199,3,1877,6,2
3200,30,3200,4,1878,2,1
3201,31,3201,2,1880,3,1
3201,33,3201,2,1880,4,1
3201,34,3201,2,1880,5,1
3203,30,3203,2,1881,2,1
3207,31,3207,3,1883,5,3
3207,32,3207,4,1884,2,1
3208,30,3208,1,1885,2,1
3208,31,3208,1,1885,3,1
3210,30,3210,2,1887,2,1
3210,31,3210,2,1887,3,1
3211,30,3211,2,1888,5,2
3211,170,3211,2,1888,6,2
3214,30,3214,173,1890,3,2
3217,30,3217,2,1891,4,2
3217,31,3217,2,1891,5,2
3218,30,3218,1,1892,3,1
3224,32,3224,5,1894,2,1
3225,30,3225,4,1897,3,2
3225,31,3225,3,1896,3,2
3226,30,3226,1,1898,4,1
3226,31,3226,1,1898,5,1
3227,30,3227,2,1899,3,2
3227,31,3227,4,1900,3,2
3228,30,3228,3,1901,3,2
3231,30,3231,2,1902,4,2
3231,31,3231,2,1902,5,2
3232,32,3232,172,1904,3,2
3232,34,3232,172,1904,4,2
3235,30,3235,3,1906,3,2
3235,31,3235,3,1906,4,2
3235,32,3235,171,1905,4,2
3235,33,3235,3,1906,5,2
3236,31,3236,2,1908,2,1
3236,33,3236,2,1908,3,1
3236,34,3236,2,1908,4,1
3236,35,3236,179,1909,2,1
3236,36,3236,2,1908,5,1
3237,30,3237,170,1912,3,2
3237,31,3237,6,1914,3,2
3237,32,3237,177,1915,3,2
3237,33,3237,6,1914,4,2
3237,34,3237,172,1910,6,2
3237,38,3237,180,1913,3,2
3237,39,3237,196,1911,1,4
3237,40,3237,6,1914,5,2
3240,32,3240,5,1918,4,2
3240,33,3240,5,1918,3,2
3242,30,3242,2,1919,3,2
3242,31,3242,3,1920,3,2
3242,32,3242,3,1920,4,2
3242,33,3242,4,1921,2,1
3243,30,3243,3,1922,3,2
3243,31,3243,3,1922,4,2
3243,32,3243,171,1923,2,1
3246,30,3246,1,1925,3,2
3246,31,3246,1,1925,4,2
3247,30,3247,1,1926,3,2
3247,31,3247,1,1926,4,2
3249,33,,,1928,2,
3250,30,3250,4,1929,2,1
3250,31,3250,4,1929,3,1
3252,30,3252,4,1931,2,1
3252,31,3252,173,1930,4,1
3252,32,3252,173,1930,5,1
3252,33,3252,4,1931,3,1
3252,171,3252,173,1930,3,1
3257,30,3257,1,1932,4,1
3258,30,3258,3,1933,4,2
3258,171,3258,3,1933,3,2
3261,30,3261,2,1934,5,1
3261,31,3261,2,1934,6,1
3262,31,3262,171,1936,2,1
3262,33,3262,171,1936,3,1
3262,34,3262,171,1936,4,1
3263,30,3263,176,1937,4,2
3263,31,3263,174,1938,2,1
3263,32,3263,4,1939,3,2
3268,30,3268,3,1941,5,2
3268,31,3268,3,1941,3,2
3268,32,3268,3,1941,4,2
3268,174,3268,5,1942,2,1
3268,175,3268,5,1942,3,1
3272,33,3272,1,1943,3,1
3272,34,3272,1,1943,4,1
3272,35,3272,1,1943,5,1
3287,33,3287,4,1946,3,1
3287,36,3287,4,1946,4,1
3288,30,3288,173,1948,3,2
3288,31,3288,173,1948,4,2
3291,30,3291,3,1949,3,2
3297,30,3297,4,1952,2,1
3297,31,3297,4,1952,3,1
3303,36,3303,3,1955,4,2
3311,30,3311,2,1958,4,1
3311,31,3311,3,1959,2,1
3311,170,3311,3,1959,3,1
3312,30,3312,170,1960,3,2
3316,30,3316,21,1961,3,2
3316,31,3316,21,1961,4,2
3316,32,3316,3,1962,3,1
3316,33,3316,3,1962,4,1
3316,35,3316,21,1961,5,2
3320,30,3320,1,1965,2,1
3332,30,3332,2,1970,3,2
3332,31,3332,4,1971,3,2
3333,30,3333,2,1972,4,2
3333,31,3333,2,1972,5,2
3339,30,3339,170,1973,4,2
3340,30,,,1974,3,
3340,31,,,1974,4,
3341,31,3341,3,1976,3,2
3341,32,3341,3,1976,4,2
3345,30,3345,173,1980,4,2
3345,31,3345,173,1980,5,2
3346,30,3346,3,1981,3,2
3347,30,3347,1,1982,3,1
3347,31,3347,4,1983,3,1
3347,32,3347,1,1982,4,1
3348,30,3348,5,1984,3,1
3348,31,3348,5,1984,4,1
3348,32,3348,5,1984,5,1
3349,30,3349,3,1985,5,3
3351,30,3351,1,1986,6,1
3351,32,3351,174,1986,5,4
3355,30,3355,3,1990,3,2
3355,31,3355,3,1990,4,2
3355,32,3355,3,1990,5,2
3356,30,3356,4,1992,3,2
3356,31,3356,5,1991,3,2
3356,32,3356,4,1992,4,2
3356,33,3356,4,1992,5,2
3356,34,3356,5,1991,4,2
3356,35,3356,5,1991,5,2
3356,36,3356,4,1992,6,2
3359,30,3359,3,1993,2,1
3359,31,3359,3,1993,3,1
3359,32,3359,3,1993,4,1
3359,33,3359,171,1994,3,2
3359,34,3359,5,1995,3,2
3359,35,3359,5,1995,4,2
3359,36,3359,5,1995,5,2
3360,30,3360,3,1996,5,4
3361,30,3361,2,1997,3,2
3362,30,3362,2,1998,3,2
3362,31,3362,171,1999,3,2
3362,32,3362,171,1999,4,2
3363,30,3363,3,2000,3,2
3363,31,3363,3,2000,4,2
3363,32,3363,3,2000,5,2
3365,30,3365,3,2002,2,1
3365,31,3365,170,2003,3,2
3365,32,3365,5,2001,4,3
3365,33,3365,4,2004,2,1
3365,34,3365,170,2003,4,2
3367,30,3367,2,2006,4,2
3367,31,3367,2,2006,5,2
3367,32,3367,2,2006,6,2
3367,33,3367,2,2006,7,2
3367,34,3367,3,2006,8,3
3368,30,3368,6,2009,4,2
3368,32,3368,5,2008,3,2
3368,33,3368,5,2008,4,2
3368,34,3368,6,2009,5,2
3368,35,3368,5,2008,5,2
3368,36,3368,7,2011,3,2
3373,30,3373,2,2012,5,2
3373,31,3373,2,2012,6,2
3375,30,3375,174,2015,3,2
3375,32,3375,174,2015,4,2
3377,31,3377,3,2019,3,2
3377,33,3377,3,2019,4,2
3377,35,3377,3,2019,5,2
3378,30,3378,2,2021,3,2
3379,30,3379,3,2024,2,1
3379,31,3379,172,2025,3,1
3379,32,3379,3,2024,3,1
3379,33,3379,6,2023,5,3
3379,34,3379,3,2024,4,1
3379,35,3379,5,2022,2,1
3380,30,3380,4,2026,5,3
3380,31,3380,4,2026,6,3
3381,30,3381,3,2027,2,1
3381,31,3381,171,2028,3,2
3381,32,3381,5,2030,2,1
3381,33,3381,3,2027,3,1
3381,34,3381,5,2030,3,1
3381,35,3381,171,2028,4,2
3381,36,3381,3,2027,4,1
3381,37,3381,173,2029,2,1
3381,38,3381,171,2028,5,2
3381,39,3381,3,2027,5,1
3388,30,3388,171,2031,3,2
3394,30,3394,2,2032,2,1
3394,31,3394,2,2032,3,1
3394,32,3394,2,2032,4,1
3394,33,3394,2,2032,5,1
3397,30,3397,5,2034,2,1
3402,31,3402,170,2036,3,2
3402,32,3402,4,2037,4,2
3402,33,3402,170,2036,4,2
3402,34,3402,4,2037,5,2
3402,171,3402,4,2037,3,2
3404,30,3404,2,2038,4,2
3404,31,3404,3,2039,3,2
3405,30,3405,1,2040,2,1
3405,31,3405,2,2041,3,2
3407,31,3407,170,2043,3,1
3407,32,3407,170,2043,4,1
3408,30,3408,3,2044,4,1
3410,30,3410,175,2045,3,2
3413,30,3413,4,2046,3,1
3413,31,3413,4,2046,4,1
3414,30,3414,2,2047,3,2
3414,31,3414,3,2048,2,1
3414,32,3414,4,2049,3,2
3414,33,3414,4,2049,4,2
3415,30,3415,2,2050,2,1
3415,31,3415,2,2050,3,1
3424,30,3424,1,2052,2,1
3430,30,3430,2,2055,3,1
3432,30,3432,1,2057,3,1
3432,31,3432,1,2057,4,1
3432,32,3432,1,2057,5,1
3432,33,3432,1,2057,6,1
3435,30,3435,3,2060,3,1
3435,31,3435,3,2060,4,1
3435,32,3435,171,2061,3,2
3435,33,3435,3,2060,5,1
3437,30,3437,2,2063,5,2
3438,30,3438,170,2064,4,2
3438,33,3438,170,2064,5,2
3441,30,3441,2,2066,4,2
3441,31,3441,2,2066,5,2
3441,32,3441,4,2067,3,1
3442,30,3442,21,2068,3,2
3448,30,3448,1,2070,3,2
3453,30,3453,3,2073,3,2
3453,31,3453,3,2073,4,2
3459,30,3459,3,2074,3,1
3459,31,3459,3,2074,4,1
3462,30,3462,2,2075,4,2
3462,31,3462,3,2076,2,1
3462,32,3462,2,2075,5,2
3464,30,3464,2,2077,3,2
3473,30,3473,170,2080,3,1
3473,31,3473,4,2081,2,1
3473,33,3473,4,2081,3,1
3473,34,3473,172,2082,4,2
3473,35,3473,172,2082,5,2
3473,36,3473,170,2080,4,1
3473,173,3473,172,2082,3,2
3478,4,3478,2,2086,3,1
3478,30,3478,2,2086,4,1
3480,30,3480,3,2087,3,2
3480,31,3480,3,2087,4,2
3483,30,3483,5,2089,3,1
3483,32,3483,5,2089,4,1
3483,33,,,2090,4,
3483,34,3483,3,2088,3,2
3483,35,,,2090,5,
3489,32,,,2091,5,
3496,6,3496,2,2093,3,2
3500,30,3500,3,2095,3,1
3501,4,3501,1,2096,3,1
3502,6,3502,2,2097,4,2
3502,30,3502,3,2097,6,5
3502,31,3502,3,2097,7,5
3502,32,3502,3,2097,8,5
3502,33,3502,3,2097,9,5
3502,34,3502,4,2099,2,1
3507,32,3507,4,2102,2,1
3508,30,3508,2,2103,2,1
3509,30,3509,1,2104,2,1
3509,31,3509,1,2104,3,1
5010,32,5010,5,2106,2,1
5012,50,5012,199,2114,2,1
5012,52,5012,44,2113,2,1
5012,53,5012,183,2110,3,1
5012,56,5012,44,2113,3,1
5012,57,5012,32,2109,2,1
5012,58,5012,32,2109,3,1
5012,61,5012,44,2113,4,1
5014,41,5014,32,2116,3,1
5014,43,5014,32,2116,4,1
5014,44,5014,32,2116,5,1
5014,45,5014,34,2117,3,1
5014,178,5014,34,2117,2,1
5015,40,5015,3,2119,3,1
5015,41,5015,30,2120,5,2
5015,42,5015,31,2122,6,1
5015,44,5015,31,2122,7,1
5015,45,5015,31,2122,8,1
5015,46,5015,37,2122,2,3
5018,35,5018,4,2125,2,1
5018,36,5018,31,2127,2,1
5018,37,5018,31,2127,3,1
5018,38,5018,30,2126,2,1
5018,39,5018,30,2126,3,1
5018,40,5018,31,2127,4,1
5026,36,5026,33,2128,2,1
5031,53,5031,6,2130,2,1
5031,54,5031,32,2131,3,1
5031,56,5031,32,2131,4,1
5031,58,5031,37,2132,2,1
5031,60,5031,47,2129,3,2
5031,176,5031,41,2134,3,4
5034,44,5034,42,2137,2,1
5034,45,5034,34,2135,3,2
5034,46,5034,34,2135,4,2
5034,47,5034,35,2136,3,1
5034,48,5034,38,2138,3,2
5035,32,5035,171,2139,3,2
5035,33,5035,31,2140,2,1
5037,35,5037,34,2143,2,1
5037,37,5037,33,2142,2,1
5037,38,5037,33,2142,3,1
5037,39,5037,34,2143,3,1
5045,36,5045,184,2149,4,2
5045,37,5045,184,2149,5,2
5045,38,5045,187,2148,3,2
5045,177,5045,3,2146,2,1
5045,185,5045,184,2149,3,2
5048,49,5048,34,2151,3,2
5048,52,5048,37,2152,2,1
5048,54,5048,37,2152,3,1
5048,55,5048,34,2151,4,2
5048,56,5048,37,2152,4,1
5048,58,5048,41,2155,2,1
5048,59,5048,34,2151,5,2
5048,60,5048,37,2152,5,1
5048,61,5048,40,2156,3,1
5048,182,5048,39,2154,2,1
5052,53,5052,43,2161,3,2
5052,54,5052,36,2160,2,1
5052,56,5052,178,2162,2,1
5052,57,5052,178,2162,3,1
5052,58,5052,33,2159,4,1
5052,59,5052,36,2160,3,1
5052,60,5052,36,2160,4,1
5052,61,5052,43,2161,4,2
5052,62,5052,178,2162,4,1
5052,64,5052,43,2161,5,2
5052,65,5052,49,2165,2,1
5052,66,5052,50,2158,3,1
5052,67,5052,49,2165,3,1
5052,68,5052,178,2162,5,1
5052,70,5052,36,2160,5,1
5052,71,5052,43,2161,6,2
5052,72,5052,182,2164,3,2
5052,73,5052,49,2165,4,1
5052,196,5052,177,2163,3,1
5054,35,5054,173,2166,3,2
5054,36,5054,173,2166,4,2
5055,48,5055,33,2170,2,1
5055,49,5055,35,2168,2,1
5055,50,5055,33,2170,3,1
5055,51,5055,36,2171,2,1
5055,52,5055,35,2168,3,1
5055,53,5055,35,2168,4,1
5055,54,5055,176,2175,2,1
5055,55,5055,36,2171,3,1
5055,56,5055,35,2168,5,1
5055,57,5055,42,2167,4,3
5055,58,5055,192,2174,4,2
5055,59,5055,36,2171,4,1
5055,60,5055,40,2172,2,1
5055,61,5055,39,2169,5,3
5055,62,5055,40,2172,3,1
5055,193,5055,192,2174,3,2
5055,196,5055,34,2173,4,2
5057,48,5057,178,2179,2,1
5057,49,5057,36,2180,2,1
5057,50,5057,190,2178,3,2
5057,51,5057,190,2178,4,2
5057,52,5057,36,2180,3,1
5057,53,5057,47,2176,5,4
5057,54,5057,36,2180,4,1
5057,201,5057,196,2176,6,3
5065,48,5065,180,2184,3,2
5065,49,5065,180,2184,4,2
5065,50,5065,32,2183,2,1
5065,51,5065,180,2184,5,2
5065,52,5065,40,2186,2,1
5065,53,5065,32,2183,3,1
5065,54,5065,38,2185,2,1
5065,55,5065,38,2185,3,1
5065,57,5065,56,2182,2,1
5065,58,5065,40,2186,3,1
5066,46,5066,33,2189,3,1
5066,186,5066,33,2189,2,1
5066,191,5066,39,2191,2,1
5067,37,5067,35,2193,2,1
5067,38,5067,34,2194,2,1
5067,39,5067,36,2192,2,1
5068,32,5068,170,2195,2,5
5068,33,5068,170,2195,3,5
5068,34,5068,170,2195,4,5
5069,39,5069,35,2197,3,2
5069,40,5069,35,2197,4,2
5069,42,5069,35,2197,5,2
5069,43,5069,37,2198,2,1
5069,44,5069,35,2197,6,2
5069,47,5069,35,2197,7,2
5071,37,5071,34,2199,2,1
5071,38,5071,34,2199,3,1
5071,39,5071,36,2201,2,1
5071,40,5071,36,2201,3,1
5085,31,5085,4,2202,3,1
5085,32,5085,4,2202,4,1
5085,33,5085,30,2203,2,1
5120,34,5120,4,2204,2,1
5120,36,5120,178,2205,3,1
5126,36,5126,30,2208,2,1
5126,37,5126,33,2207,2,1
5126,38,5126,33,2207,3,1
5126,39,5126,33,2207,4,1
5136,44,5136,181,2211,2,1
5136,45,5136,33,2212,2,1
5136,46,5136,31,2210,2,1
5136,47,5136,11,2209,2,1
5136,48,5136,33,2212,3,1
5136,49,5136,33,2212,4,1
5136,50,5136,42,2213,3,1
5136,51,5136,42,2213,4,1
5142,36,5142,32,2214,2,1
5145,36,5145,32,2216,2,1
5145,37,5145,185,2215,5,3
5154,47,5154,33,2218,2,1
5154,48,5154,36,2220,2,1
5154,49,5154,32,2217,3,2
5154,50,5154,36,2220,3,1
5154,51,5154,36,2220,4,1
5154,52,5154,36,2220,5,1
5154,53,5154,39,2219,2,1
5154,54,5154,39,2219,3,1
5154,55,5154,188,2221,3,2
5161,36,5161,32,2222,3,2
5163,33,5163,30,2223,3,1
5163,34,5163,174,2223,5,2
5170,44,5170,184,2227,2,1
5170,45,5170,30,2226,3,1
5170,46,5170,193,2229,2,1
5170,47,5170,185,2228,2,1
5170,208,5170,193,2229,3,1
5177,37,5177,30,2231,2,1
5177,38,5177,30,2231,3,1
5180,34,5180,31,2232,3,1
5180,35,5180,31,2232,4,1
5182,50,5182,176,2234,3,2
5182,51,5182,182,2235,3,2
5182,52,5182,30,2236,3,2
5182,54,5182,177,2237,3,2
5182,55,5182,39,2238,3,1
5182,56,5182,43,2239,2,1
5182,57,5182,43,2239,3,1
5199,36,5199,4,2240,3,1
5215,36,5215,180,2243,2,1
5215,176,5215,177,2241,3,1
5216,31,5216,171,2244,2,1
5219,36,5219,35,2245,3,2
5219,37,5219,193,2246,3,1
5230,43,5230,37,2247,2,1
5230,44,5230,40,2249,2,1
5230,45,5230,37,2247,3,1
5230,46,5230,38,2248,3,2
5230,47,5230,40,2249,3,1
5230,48,5230,38,2248,4,2
5230,49,5230,40,2249,4,1
5230,50,5230,211,2250,3,2
5230,51,5230,38,2248,5,2
5241,32,5241,30,2254,3,1
5241,33,5241,171,2252,3,2
5241,34,5241,171,2252,4,2
5241,35,5241,171,2252,5,2
5274,34,5274,30,2255,3,1
5274,35,5274,32,2256,2,1
5274,36,5274,30,2255,4,1
5274,37,5274,32,2256,3,1
5274,38,5274,30,2255,5,1
5274,39,5274,32,2256,4,1
5274,40,5274,30,2255,6,1
5274,41,5274,30,2255,7,1
5274,42,5274,32,2256,5,1
5274,43,5274,187,2257,3,2
5287,37,5287,31,2260,2,1
5290,38,5290,189,2261,3,2
5290,39,5290,189,2261,4,2
5290,40,5290,189,2261,5,2
5292,44,5292,39,2263,2,1
5294,34,5294,30,2264,2,1
5294,35,5294,30,2264,3,1
5294,36,5294,30,2264,4,1
5299,59,5299,32,2268,4,2
5299,60,5299,40,2273,3,1
5299,61,5299,39,2275,2,1
5299,62,5299,32,2268,5,2
5299,65,5299,36,2270,3,2
5299,66,5299,34,2272,2,1
5299,67,5299,4,2266,4,1
5299,68,5299,10,2267,2,1
5299,69,5299,198,2282,2,1
5299,70,5299,40,2273,2,1
5299,71,5299,45,2276,2,1
5299,72,5299,177,2280,2,1
5299,73,5299,36,2270,4,2
5299,74,5299,177,2280,3,1
5299,75,5299,177,2280,4,1
5299,76,5299,40,2273,4,1
5299,77,5299,33,2274,4,2
5299,78,5299,39,2275,3,1
5299,79,5299,45,2276,3,1
5299,80,5299,37,2278,4,2
5299,82,5299,40,2273,5,1
5299,83,5299,39,2275,4,1
5299,84,5299,39,2275,5,1
5299,85,5299,182,2277,1,2
5299,86,5299,37,2278,5,2
5299,87,5299,37,2278,6,2
5299,188,5299,33,2274,3,2
5299,190,5299,197,2281,2,1
5299,191,5299,37,2278,3,2
5299,192,5299,178,2279,3,1
5299,202,5299,178,2279,4,1
5299,203,5299,178,2279,5,1
5305,40,5305,196,2285,3,2
5306,34,5306,3,2286,3,1
5308,34,5308,32,2287,2,1
5308,35,5308,32,2287,3,1
5308,36,5308,32,2287,4,1
5314,39,5314,32,2288,2,1
5314,40,5314,175,2289,2,1
5314,41,5314,175,2289,3,1
5314,42,5314,176,2291,2,1
5314,43,5314,175,2289,4,1
5314,44,5314,174,2290,3,1
5314,45,5314,174,2290,4,1
5314,46,5314,174,2290,5,1
5315,38,5315,177,2292,3,2
5315,40,5315,177,2292,5,2
5315,41,5315,179,2294,4,2
5315,180,5315,179,2294,3,2
5332,44,,,2295,3,
5332,45,5332,32,2296,3,1
5332,47,5332,40,2298,2,1
5332,48,5332,32,2296,4,1
5332,198,5332,199,2297,1,3
5348,35,5348,5,2300,2,1
5350,40,5350,31,2301,3,2
5350,41,5350,31,2301,4,2
5350,42,5350,178,2303,3,1
5350,43,5350,38,2304,2,1
5350,44,5350,178,2303,4,1
5350,45,5350,38,2304,3,1
5350,185,5350,178,2303,2,1
5356,171,5356,170,2306,3,2
5363,36,5363,31,2308,2,1
5363,37,5363,31,2308,3,1
5363,38,5363,32,2307,2,1
5364,36,5364,31,2312,2,1
5364,38,5364,33,2313,2,1
5364,39,5364,32,2311,2,1
5364,46,5364,33,2313,3,1
5364,47,5364,33,2313,4,1
5364,48,5364,32,2311,3,1
5364,49,5364,33,2313,5,1
5364,50,5364,187,2314,3,1
5366,50,5366,32,2316,3,2
5366,55,5366,192,2315,7,2
5366,203,5366,33,2317,2,1
5366,206,5366,209,2320,3,2
5370,43,5370,32,2321,3,2
5370,44,5370,32,2321,4,2
5375,31,5375,170,2322,2,1
5392,41,5392,30,2325,2,1
5392,42,5392,39,2326,2,1
5393,39,5393,181,2328,3,1
5393,40,5393,174,2327,2,1
5393,41,5393,174,2327,3,1
5393,42,5393,174,2327,4,1
5397,37,5397,30,2331,3,2
5397,38,5397,4,2330,3,2
5397,39,5397,30,2331,4,2
5397,42,5397,36,2332,3,2
5397,43,5397,36,2332,4,2
5405,31,5405,30,2334,2,1
5405,32,5405,30,2334,3,1
5405,33,5405,30,2334,4,1
5405,34,5405,30,2334,5,1
5406,34,5406,30,2335,2,1
5416,36,5416,174,2339,3,1
5416,37,5416,174,2339,4,1
5417,32,5417,31,2340,4,3
5429,36,5429,30,2343,2,1
5429,37,5429,33,2342,4,3
5430,54,5430,191,2347,2,1
5430,55,5430,191,2347,3,1
5430,57,5430,31,2344,2,1
5430,58,5430,184,2353,2,1
5430,59,5430,30,2346,3,1
5430,60,5430,38,2349,3,2
5430,62,5430,192,2350,4,2
5430,63,5430,37,2351,3,2
5430,64,5430,31,2344,3,1
5430,65,5430,196,2357,3,1
5430,67,5430,39,2352,2,1
5430,69,5430,200,2348,4,2
5430,70,5430,38,2349,4,2
5430,71,5430,37,2351,4,2
5430,72,5430,184,2353,3,1
5430,74,5430,200,2348,5,2
5430,78,5430,31,2344,4,1
5430,80,5430,196,2357,2,1
5430,81,5430,224,2355,2,1
5430,85,5430,45,2359,2,1
5430,86,5430,196,2357,4,1
5430,88,5430,38,2349,5,2
5441,32,5441,175,2361,3,1
5442,36,5442,34,2362,3,2
5442,39,5442,34,2362,4,2
5443,36,5443,7,2363,4,2
5446,33,5446,31,2366,4,2
5446,34,5446,31,2366,3,2
5446,35,5446,32,2365,2,1
5446,173,5446,31,2366,5,2
5449,35,5449,31,2368,3,1
5451,32,5451,172,2369,4,1
5458,40,5458,34,2371,2,1
5458,41,5458,34,2371,3,1
5458,42,5458,34,2371,4,1
5459,34,5459,180,2372,3,2
5459,35,5459,180,2372,4,2
5459,36,5459,32,2373,3,2
5462,37,5462,172,2376,2,1
5462,38,5462,171,2375,2,1
5462,39,5462,171,2375,3,1
5462,40,5462,3,2374,3,1
5463,46,5463,6,2377,4,1
5463,47,5463,6,2377,5,1
5463,49,5463,37,2381,5,1
5463,188,5463,34,2378,2,1
5463,189,5463,34,2378,3,1
5464,45,5464,32,2383,2,1
5464,47,5464,38,2384,3,1
5476,31,5476,2,2385,2,1
5476,174,5476,173,2386,3,1
5477,37,5477,35,2387,2,1
5477,38,5477,35,2387,3,1
5479,32,5479,30,2389,2,1
5479,33,5479,31,2390,2,1
5488,33,5488,179,2392,1,3
5488,34,5488,30,2391,4,3
5491,35,5491,31,2393,2,1
5491,181,5491,31,2393,3,1
5493,44,5493,36,2396,4,1
5493,45,5493,36,2396,5,1
5493,46,5493,205,2395,3,1
5493,47,5493,39,2398,2,1
5493,48,5493,40,2399,2,1
5493,49,5493,38,2397,1,2
5493,50,5493,39,2398,3,1
5493,51,5493,7,2394,3,1
5493,52,5493,39,2398,4,1
5493,53,5493,40,2399,4,1
5493,54,5493,40,2399,3,1
5493,203,5493,36,2396,2,1
5493,204,5493,36,2396,3,1
5494,37,5494,187,2402,1,2
5494,39,5494,173,2400,3,2
5494,40,5494,173,2400,4,2
