KIDS,TAS,KID14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,P14REL,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
1,,1.1,,,,,,,,2,352,34,0,0,0,0,0,0,0,0,0,6,2,1,1,0,1,0,0,2,0,0,352,173,1984,3,1,106,1,352,31,1974,3,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,6789,0,0,,,5159,0,0,,,5784,0,0,,,6109,0,0,,,7942,3,30,,,2,436,3,30,,,1040,3,30,,
,3,,,,,,1,1,1,2,354,31,0,0,0,0,0,0,0,0,0,6,2,1,1,0,1,0,0,2,0,0,354,171,1955,1,1,86,4,354,3,1957,2,2,2019,2,1,2014,4,2016,99,9999,99,9999,99,9999,2019,1,9,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,1341,2,30,,,1585,2,30,,,5214,2,30,,,4175,2,30,,,8599,2,30,2,5,,7184,1,10,2,6,4392,1,10,2,6
,4,,1,1,1,1,,,,2,355,31,0,5,0,0,0,0,0,0,0,6,2,1,1,0,1,0,0,2,0,0,355,3,1953,2,2,995,1,355,170,1948,2,2,2019,3,8,2013,5,2017,11,2015,99,9999,99,9999,2019,1,10,2015,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,600,2,30,5,5,1904,2,30,4,6,3129,2,30,3,5,903,2,30,2,6,1953,1,10,,,,415,1,10,,,2220,1,10,,
,6,,,1,1,1,1,1,1,2,355,32,0,5,0,0,0,0,0,0,0,6,2,1,1,1,1,0,0,2,2011,2009,355,171,1958,2,1,147,1,355,4,1955,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,6,2017,5,99,9999,9,2018,99,9999,9,99,9999,99,9999,5,0,0,1968,0,1914,3,30,,,2061,3,30,4,5,4912,51,30,3,5,848,51,30,2,4,1053,3,30,2,4,,1588,3,30,2,3,1848,1,10,2,5
,5,,,,1,1,1,1,1,2,355,33,0,5,0,0,0,0,0,0,0,6,2,2,1,0,1,0,0,2,0,0,355,171,1958,2,2,123,1,355,4,1955,2,2,2019,1,12,2017,99,9999,99,9999,99,9999,99,9999,2019,1,10,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2019,1968,0,1914,4,30,,,2061,4,30,,,4912,3,30,3,3,1754,1,10,2,5,811,2,22,2,4,,1575,2,20,2,4,1521,2,20,2,4
,3,,,,,,1,1,1,2,356,31,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,2,2015,2015,356,3,1967,2,1,91,1,356,173,1961,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,511,3,30,,,485,3,30,,,2905,3,30,,,1622,3,30,,,1112,3,30,2,2,,2477,51,30,2,4,7377,1,10,2,4
,1,,,,,,,1,,2,356,32,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,2,2017,2011,356,177,1973,5,2,136,1,356,30,1972,4,1,2019,1,4,2017,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,7166,4,30,,,6950,4,30,,,1919,4,30,,,0,0,0,,,8520,3,30,,,,8660,3,30,2,5,9465,72,30,,
1,1,1.1,,,,,,,1,2,356,33,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,2,0,0,356,3,1967,2,2,164,1,356,173,1961,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,511,4,30,,,485,4,30,,,2905,4,30,,,1622,4,30,,,1112,4,30,,,2,2477,3,30,,,6957,3,30,2,3
,5,,1,1,1,1,1,,,2,361,176,0,5,0,0,0,0,0,0,0,31,2,1,1,1,1,0,0,3,2011,2009,361,913,9999,99,99,999,9,361,4,1960,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,10,2009,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,2393,3,30,5,5,4554,3,30,4,5,1054,51,30,3,5,602,51,30,2,4,5863,1,10,2,5,,2354,1,10,,,968,1,10,,
,4,,,,,1,1,1,1,2,368,32,0,5,0,0,0,0,0,0,0,8,2,2,1,1,1,0,0,2,2017,2011,368,170,1959,1,1,998,1,368,3,1965,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,494,3,30,,,2581,3,30,,,1108,3,30,,,1533,51,30,2,6,1667,51,30,2,6,,2509,51,30,2,6,1166,51,30,2,6
1,,1.1,,,,,,,,2,368,33,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,368,30,1968,3,1,135,1,368,171,1968,3,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,715,3,30,,,6653,3,30,,,2241,3,30,,,453,3,30,,,2445,3,30,,,2,3698,3,30,,,1121,3,30,,
1,,1.1,,,,,,,,2,368,34,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,368,172,1970,2,1,110,1,368,31,1970,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,575,3,30,,,6370,3,30,,,2939,3,30,,,6506,3,30,,,1278,3,30,,,2,4931,3,30,,,1929,3,30,,
1,,1.1,,,,,,,,2,368,35,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,368,172,1970,2,2,127,1,368,31,1970,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,575,0,0,,,6370,4,30,,,2939,4,30,,,6506,4,30,,,1278,4,30,,,2,4931,4,30,,,1929,4,30,,
1,,1.1,,,,,,,,2,368,36,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,368,30,1968,3,2,103,1,368,171,1968,3,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,715,0,0,,,6653,4,30,,,2241,4,30,,,453,4,30,,,2445,4,30,,,2,3698,4,30,,,1121,4,30,,
1,,1.1,,,,,,,,2,368,37,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,368,30,1968,3,3,102,1,368,171,1968,3,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,715,0,0,,,6653,5,30,,,2241,5,30,,,453,5,30,,,2445,5,30,,,2,3698,5,30,,,1121,5,30,,
,3,,,,,,1,1,1,2,374,30,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,0,1,2,2019,2013,374,5,1954,1,1,97,1,374,170,1950,1,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,218,3,30,,,1096,3,30,,,462,3,30,,,4404,3,30,,,2524,51,30,2,2,,2283,51,30,2,2,1983,1,10,2,3
,3,,,,,,1,1,1,2,377,30,0,0,0,0,0,0,0,0,0,12,1,1,1,0,1,0,0,2,0,0,377,4,1964,2,1,113,1,377,170,1964,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7773,3,30,,,6089,3,30,,,8491,3,30,,,1972,3,30,,,7208,3,30,2,5,,4997,3,30,2,5,8996,1,10,2,5
,2,,,,,,,1,1,2,377,31,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,0,0,2,2017,2017,377,4,1964,2,2,128,1,377,170,1964,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7773,4,30,,,6089,4,30,,,8491,4,30,,,1972,4,30,,,7208,4,30,,,,4997,4,30,2,4,8471,51,30,2,4
1,1,1.1,,,,,,,1,2,377,32,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,0,1,2,2019,2017,377,171,1962,2,1,118,1,377,3,1963,2,1,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7348,3,30,,,3788,3,30,,,5683,3,30,,,4226,3,30,,,5116,3,30,,,2,5323,3,30,,,4180,51,30,2,5
1,,1.1,,,,,,,,2,377,33,0,0,0,0,0,0,0,0,0,12,1,1,1,0,1,0,1,2,0,0,377,171,1962,2,2,85,1,377,3,1963,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7348,4,30,,,3788,4,30,,,5683,4,30,,,4226,4,30,,,5116,4,30,,,2,5323,4,30,,,4180,3,30,,
1,,1.1,,,,,,,,2,378,31,0,0,0,0,0,0,0,0,0,27,1,1,1,0,1,1,0,2,2019,2019,378,172,1982,3,3,112,8,378,30,1978,1,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2357,0,0,,,4164,0,0,,,1790,0,0,,,6074,0,0,,,3977,5,30,,,2,1088,5,30,,,223,5,30,,
,2,,1,,,1,,,,2,391,31,0,5,0,0,0,0,0,0,0,18,2,2,1,0,1,1,0,2,2007,2007,391,3,1952,2,2,995,1,391,172,1953,2,2,2019,1,98,2016,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2017,1968,0,7515,3,30,5,4,8331,71,30,,,8722,1,10,,,8216,1,10,2,5,9079,1,10,,,,8509,1,10,,,3021,1,10,,
,1,,,,,,,,1,2,391,33,0,0,0,0,0,0,0,0,0,18,2,2,1,1,1,0,1,2,2019,2013,391,4,1959,1,1,117,1,391,175,1968,1,1,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7829,3,30,,,8154,3,30,,,5731,3,30,,,8328,3,30,,,0,0,0,,,,9006,3,30,,,3363,51,30,2,5
,2,,,,,,,1,1,2,409,33,0,0,0,0,0,0,0,0,0,29,1,2,1,1,1,0,0,2,2017,2015,409,30,1971,3,1,113,1,409,178,1968,3,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7082,3,30,,,4961,3,30,,,7086,3,30,,,7682,3,30,,,8872,3,30,,,,7645,51,30,2,5,8831,51,30,2,6
1,1,1.1,,,,,,,1,2,409,34,0,0,0,0,0,0,0,0,0,29,1,1,1,0,1,0,0,2,0,0,409,30,1971,3,2,129,1,409,178,1968,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7082,4,30,,,4961,4,30,,,7086,4,30,,,7682,4,30,,,8872,4,30,,,2,7645,3,30,,,8831,3,30,2,6
1,1,1.1,,,,,,,1,2,409,35,0,0,0,0,0,0,0,0,0,29,1,2,1,1,1,0,1,2,2019,2019,409,179,1977,3,1,98,1,409,175,1979,3,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5042,3,30,,,1733,3,30,,,1457,3,30,,,2232,3,30,,,3621,3,30,,,2,5356,3,30,,,8555,3,30,2,5
1,,1.1,,,,,,,,2,409,36,0,0,0,0,0,0,0,0,0,29,1,2,1,0,1,0,1,2,0,0,409,179,1977,3,2,99,1,409,175,1979,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5042,4,30,,,1733,4,30,,,1457,4,30,,,2232,4,30,,,3621,4,30,,,2,5356,4,30,,,8555,4,30,,
1,,1.1,,,,,,,,2,409,38,0,0,0,0,0,0,0,0,0,29,1,2,1,0,1,0,0,2,0,0,409,32,1979,2,1,102,1,409,181,1976,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,5475,3,30,,,2128,3,30,,,1386,3,30,,,162,3,30,,,4671,3,30,,,2,4937,3,30,,,6390,2,30,,
1,,1.1,,,,,,,,2,409,39,0,0,0,0,0,0,0,0,0,29,1,1,1,0,1,0,0,2,0,0,409,30,1971,3,3,121,1,409,178,1968,3,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,7082,0,0,,,4961,5,30,,,7086,5,30,,,7682,5,30,,,8872,5,30,,,2,7645,4,30,,,8831,4,30,,
1,,1.1,,,,,,,,2,409,40,0,0,0,0,0,0,0,0,0,29,1,2,1,0,1,0,1,2,0,0,409,179,1977,3,3,107,1,409,175,1979,3,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,5042,0,0,,,1733,5,30,,,1457,5,30,,,2232,5,30,,,3621,5,30,,,2,5356,5,30,,,8555,5,30,,
1,,1.1,,,,,,,,2,409,42,0,0,0,0,0,0,0,0,0,29,1,2,1,0,1,0,0,2,0,0,409,32,1979,2,2,130,1,409,181,1976,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,5475,0,0,,,2128,0,0,,,1386,4,30,,,162,4,30,,,4671,4,30,,,2,4937,4,30,,,6390,3,30,,
1,,1.1,,,,,,,,2,412,34,0,0,0,0,0,0,0,0,0,21,1,2,1,0,1,0,1,2,2019,2017,412,33,1979,5,1,124,2,412,175,1979,3,1,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2270,3,33,,,1027,3,33,,,4429,3,33,,,1078,2,30,,,1359,3,30,,,2,8719,3,30,,,0,0,0,,
1,,1.1,,,,,,,,2,412,35,0,0,0,0,0,0,0,0,0,21,1,2,1,0,1,0,1,2,2019,2017,412,33,1979,5,2,133,2,412,174,1975,4,1,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2270,4,30,,,1027,4,30,,,4429,4,30,,,1078,3,30,,,1359,4,33,,,2,8719,4,33,,,0,0,0,,
1,,1.1,,,,,,,,2,412,36,0,0,0,0,0,0,0,0,0,21,1,1,1,0,1,0,1,2,2019,2017,412,33,1979,5,3,137,1,412,174,1975,4,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2270,5,30,,,1027,5,30,,,4429,5,30,,,1078,4,30,,,1359,5,33,,,2,8719,5,33,,,0,0,0,,
1,,1.1,,,,,,,,2,412,37,0,0,0,0,0,0,0,0,0,21,1,1,1,0,1,0,1,2,2019,2017,412,33,1979,5,4,157,1,412,174,1975,4,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2270,6,30,,,1027,6,30,,,4429,6,30,,,1078,5,30,,,1359,6,33,,,2,8719,6,33,,,0,0,0,,
1,,1.1,,,,,,,,2,412,38,0,0,0,0,0,0,0,0,0,21,1,1,1,0,1,0,1,2,2019,2017,412,33,1979,5,5,108,1,412,174,1975,4,4,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2270,0,0,,,1027,0,0,,,4429,7,30,,,1078,6,30,,,1359,7,33,,,2,8719,7,33,,,0,0,0,,
,4,,1,1,1,1,,,,2,414,38,0,5,0,0,0,0,0,0,0,6,1,2,1,1,1,0,0,2,2007,2005,414,5,1953,2,2,995,1,414,172,1952,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5493,51,30,5,5,3007,51,30,4,6,4655,3,30,3,5,3070,1,10,2,5,4339,1,10,,,,4757,1,10,,,2792,1,10,,
1,,1.1,,,,,,,,2,414,41,0,0,0,0,0,0,0,0,0,6,1,2,1,0,1,0,0,2,0,0,414,31,1978,2,1,118,1,414,176,1975,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2521,0,0,,,978,0,0,,,863,0,0,,,2840,3,30,,,2815,3,30,,,2,7417,3,30,,,2829,3,30,,
1,,1.1,,,,,,,,2,414,42,0,0,0,0,0,0,0,0,0,6,1,2,1,0,1,0,0,2,0,0,414,31,1978,2,2,124,1,414,176,1975,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2521,0,0,,,978,0,0,,,863,0,0,,,2840,0,0,,,2815,4,30,,,2,7417,4,30,,,2829,4,30,,
,3,,,,1,,,1,1,2,419,34,0,5,0,0,0,0,0,0,0,27,2,1,1,0,1,0,1,2,2013,2013,419,31,1973,3,1,138,2,419,181,9998,2,1,2019,2,6,2013,12,2016,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2017,1968,0,1586,3,30,,,515,3,30,,,4445,1,10,3,6,2864,1,10,,,0,0,0,,,,130,1,10,2,5,1217,1,10,2,3
,4,,,,,1,1,1,1,2,419,35,0,5,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,419,31,1973,3,2,998,2,419,181,9998,2,2,2019,2,12,2012,8,2015,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2017,1968,0,1586,2,30,,,515,2,30,,,2641,2,30,,,5075,1,10,2,5,743,1,10,2,6,,6229,1,10,2,6,1208,1,10,2,6
,4,,,,,1,1,1,1,2,419,36,0,5,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,419,30,1972,5,1,101,2,419,176,1970,4,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7830,3,30,,,1593,2,30,,,159,6,30,,,3205,3,60,2,9,3056,1,10,2,5,,3032,1,10,2,5,1849,1,10,2,6
,3,,,,,,1,1,1,2,419,37,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,419,30,1972,5,2,98,2,419,914,9999,99,99,2019,1,7,2012,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2013,1968,0,2876,2,30,,,132,2,30,,,159,2,30,,,2417,2,30,,,2682,1,10,2,3,,3835,1,10,2,5,1157,1,10,2,3
,1,,,,,,,,1,2,419,38,0,0,0,0,0,0,0,0,0,27,2,2,1,1,1,0,0,2,2015,2015,419,30,1972,5,3,116,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2876,3,30,,,132,3,30,,,159,3,30,,,2417,3,30,,,1551,2,30,,,,2625,51,30,,,1157,3,40,2,5
1,1,1.1,,,,,,,1,2,419,39,0,0,0,0,0,0,0,0,0,27,2,1,1,0,1,0,0,2,0,0,419,30,1972,5,4,120,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2876,4,30,,,132,4,30,,,159,4,30,,,2417,4,30,,,1551,3,30,,,2,2625,2,30,,,1111,2,30,2,5
1,,1.1,,,,,,,,2,419,40,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,419,30,1972,5,5,112,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2876,5,30,,,132,5,30,,,159,5,30,,,2417,5,30,,,1551,4,30,,,2,2625,3,30,,,1111,3,30,,
1,,1.1,,,,,,,,2,419,41,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,419,35,1992,2,1,78,2,419,912,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,1586,0,0,,,515,0,0,,,2641,0,0,,,5075,0,0,,,743,2,30,,,2,6229,2,30,,,1208,2,30,,
1,,1.1,,,,,,,,2,419,42,0,0,0,0,0,0,0,0,0,27,2,1,1,0,1,0,0,2,0,0,419,37,1994,1,1,116,2,419,913,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2876,0,0,,,132,0,0,,,159,0,0,,,2417,0,0,,,2682,2,30,,,2,3835,2,30,,,1157,2,30,,
1,,1.1,,,,,,,,2,423,33,0,0,0,0,0,0,0,0,0,32,1,1,1,0,1,0,0,2,0,0,423,176,1984,2,1,140,1,423,32,1982,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,2625,0,0,,,3901,0,0,,,7615,3,30,,,7424,3,30,,,7078,3,30,,,2,7517,3,30,,,1800,3,30,,
,4,,1,1,1,1,,,,2,428,30,0,5,0,0,0,0,0,0,0,19,2,1,1,1,1,0,0,2,2005,2003,428,170,1954,3,1,995,2,428,4,1953,3,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1536,52,30,5,3,5002,1,10,4,5,485,1,10,3,4,3351,1,10,2,4,1434,1,10,,,,1326,1,10,,,845,1,10,,
,5,,,,1,1,1,1,1,2,428,32,0,5,0,0,0,0,0,0,0,19,2,1,1,1,1,0,0,2,2013,2011,428,170,1954,3,3,146,1,428,4,1953,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1536,3,30,,,3971,3,30,,,1469,3,30,3,5,3638,51,30,2,5,53,51,30,2,4,,2438,1,10,2,5,690,1,10,2,5
1,1,1.1,,,,,,,1,2,431,30,0,0,0,0,0,0,0,0,0,18,1,1,1,1,1,1,1,2,2019,2005,431,176,1972,2,2,94,1,431,5,1967,1,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5739,72,30,,,0,0,0,,,0,0,0,,,2424,2,30,,,1717,2,30,,,2,8165,2,30,,,864,2,30,2,5
,4,,,,,1,1,1,1,2,432,32,0,5,0,0,0,0,0,0,0,18,1,2,1,0,1,0,0,2,0,0,432,31,1975,2,1,998,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2721,3,60,,,2795,3,60,,,5850,3,60,,,4819,3,60,2,5,1609,3,60,2,5,,5494,3,30,2,5,8615,3,60,2,6
,4,,1,1,1,1,,,,2,433,31,0,5,0,0,0,0,0,0,0,17,2,2,1,0,1,0,1,2,2001,2001,433,8,1963,4,1,995,1,433,171,1962,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7218,2,22,5,6,3579,1,10,4,5,1368,2,22,3,6,7414,2,22,2,6,7804,1,10,,,,8903,1,10,,,7535,1,10,,
,4,,,,1,1,1,1,,2,433,34,0,5,0,0,0,0,0,0,0,17,2,1,1,0,1,1,1,2,2017,2001,433,8,1963,4,3,118,4,433,173,1959,2,1,2019,98,99,9999,99,9999,99,9999,99,9999,99,9999,2019,98,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,8,0,0,1968,0,6597,2,30,,,2826,2,30,,,4638,3,30,3,4,8259,2,30,2,4,6004,2,30,2,5,,8656,2,30,2,4,9568,71,30,,
,3,,,,,,1,1,1,2,433,38,0,0,0,0,0,0,0,0,0,17,2,1,1,0,1,0,0,2,0,0,433,175,1965,3,2,119,1,433,30,1969,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2649,4,30,,,1938,4,30,,,7316,3,30,,,7133,3,30,,,3637,3,30,2,6,,2018,3,30,2,6,4630,3,30,2,5
,1,,,,,,,,1,2,433,40,0,0,0,0,0,0,0,0,0,17,2,1,1,0,1,0,0,2,0,0,433,175,1965,3,3,115,1,433,30,1969,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,2649,5,30,,,1938,5,30,,,7316,4,30,,,7133,4,30,,,3637,4,30,,,,2018,4,30,,,4630,4,30,2,6
