KIDS,TAS,KID14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,P14REL,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
,2,,,,,,,1,1,2,5916,38,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,0,0,2,0,0,5916,8,1964,2,2,115,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,3539,4,30,,,2348,3,30,,,4479,3,30,,,1019,3,30,,,3605,3,30,,,,4887,2,30,2,5,6521,2,30,2,6
,2,,,,,,,1,1,2,5916,39,0,0,0,0,0,0,0,0,0,25,2,1,1,1,1,0,0,2,2017,2015,5916,171,1959,3,3,140,1,5916,4,1955,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,4593,3,30,,,5775,3,30,,,7112,2,30,,,1260,2,30,,,3710,2,30,,,,625,51,30,2,5,6286,51,30,2,5
1,1,1.1,,,,,,,1,2,5916,40,0,0,0,0,0,0,0,0,0,25,2,1,1,1,1,0,0,2,2019,2017,5916,34,1981,4,1,101,2,0,0,9999,99,99,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,3590,2,30,,,6306,2,30,,,4421,2,30,,,1321,3,30,,,1581,3,35,,,2,6004,3,35,,,5028,51,35,2,5
1,,1.1,,,,,,,,2,5916,41,0,0,0,0,0,0,0,0,0,25,2,1,1,0,1,0,1,2,0,0,5916,30,1978,1,1,116,2,5916,180,1982,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,3997,3,30,,,5934,2,30,,,5520,2,30,,,5688,2,30,,,2979,2,30,,,2,5036,2,30,,,8370,2,30,,
1,,1.1,,,,,,,,2,5916,43,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,0,1,2,0,0,5916,7,1962,4,4,168,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,3625,2,30,,,5582,2,30,,,5637,2,30,,,2153,2,30,,,3150,2,30,,,2,5376,2,30,,,6282,2,30,,
1,,1.1,,,,,,,,2,5916,44,0,0,0,0,0,0,0,0,0,25,2,1,1,0,1,0,1,2,0,0,5916,181,1979,5,2,120,2,5916,31,1979,4,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,4293,3,30,,,6528,3,30,,,8239,2,30,,,8686,2,30,,,7357,2,30,,,2,5334,2,30,,,6001,2,30,,
1,,1.1,,,,,,,,2,5916,47,0,0,0,0,0,0,0,0,0,25,2,1,1,0,1,0,0,2,0,0,5916,34,1981,4,3,120,2,0,0,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,3590,0,0,,,6306,3,30,,,4421,3,30,,,1321,4,30,,,1581,4,35,,,2,6004,4,35,,,5028,3,35,,
1,,1.1,,,,,,,,2,5916,48,0,0,0,0,0,0,0,0,0,25,2,1,1,0,1,0,1,2,0,0,5916,181,1979,5,3,998,2,5916,31,1979,4,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,4293,0,0,,,6528,4,30,,,8239,3,30,,,8686,3,30,,,7357,3,30,,,2,5334,3,30,,,6001,3,30,,
1,,1.1,,,,,,,,2,5916,49,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,0,1,2,0,0,5916,181,1979,5,4,121,2,5916,31,1979,4,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,4293,0,0,,,6528,0,0,,,8239,4,30,,,8686,4,30,,,7357,4,30,,,2,5334,4,30,,,6001,4,30,,
1,,1.1,,,,,,,,2,5916,51,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,0,0,2,0,0,5916,34,1981,4,4,94,2,5916,187,1972,4,98,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,3590,0,0,,,6306,0,0,,,4421,0,0,,,1321,0,0,,,1581,5,30,,,2,6004,5,30,,,5028,4,30,,
